GIAI-96_3_3_012673656,00110100011011000000110000010110001001111000
GIAI-96_3_3_015852193,00110100011011000000111100011110001010100001
GIAI-96_3_3_018183593,00110100011011000001000101010111010110101001
GIAI-96_3_3_020717661,00110100011011000001001111000010000001011101
GIAI-96_3_3_023273823,00110100011011000001011000110010000101011111
GIAI-96_3_3_040013197,00110100011011000010011000101000110110001101
GIAI-96_3_3_050123051,00110100011011000010111111001101000100101011
GIAI-96_3_3_055789608,00110100011011000011010100110100100000101000
GIAI-96_3_3_067311877,00110100011011000100000000110001100100000101
GIAI-96_3_3_075723534,00110100011011000100100000110111001100001110
GIAI-96_3_3_080468044,00110100011011000100110010111101100001001100
GIAI-96_3_3_083514272,00110100011011000100111110100101001110100000
GIAI-96_3_3_090793349,00110100011011000101011010010110010110000101
GIAI-96_3_3_104606012,00110100011011000110001111000010100100111100
GIAI-96_3_3_106140645,00110100011011000110010100111001001111100101
GIAI-96_3_3_121609429,00110100011011000111001111111001110011010101
GIAI-96_3_3_126383973,00110100011011000111100010000111011101100101
GIAI-96_3_3_128589630,00110100011011000111101010100001111100111110
GIAI-96_3_3_136870069,00110100011011001000001010000111100010110101
GIAI-96_3_3_146393891,00110100011011001000101110011100101100100011
GIAI-96_3_3_160440056,00110100011011001001100100000001111011111000
GIAI-96_3_3_168352419,00110100011011001010000010001101101010100011
GIAI-96_3_3_185975136,00110100011011001011000101011100000101100000
GIAI-96_3_3_191701415,00110100011011001011011011010010000110100111
GIAI-96_3_3_210455778,00110100011011001100100010110100110011100010
GIAI-96_3_3_227389241,00110100011011001101100011011010111100111001
GIAI-96_3_3_243197675,00110100011011001110011111101110011011101011
GIAI-96_3_3_245862748,00110100011011001110101001111001000101011100
GIAI-96_3_3_255889407,00110100011011001111010000001000111111111111
GIAI-96_3_3_257719726,00110100011011001111010111000111110110101110
GIAI-96_3_3_270610176,00110100011011010000001000010010111100000000
GIAI-96_3_3_273906748,00110100011011010000010100110111110000111100
GIAI-96_3_3_303241370,00110100011011010010000100110001100010011010
GIAI-96_3_3_307580647,00110100011011010010010101010100111011100111
GIAI-96_3_3_364140314,00110100011011010101101101000101011100011010
GIAI-96_3_3_375852723,00110100011011010110011001110000111010110011
GIAI-96_3_3_381893435,00110100011011010110110000110011101100111011
GIAI-96_3_3_382934093,00110100011011010110110100110001110001001101
GIAI-96_3_3_394691872,00110100011011010111100001101000010100100000
GIAI-96_3_3_405043969,00110100011011011000001001000111101100000001
GIAI-96_3_3_405454790,00110100011011011000001010101011111111000110
GIAI-96_3_3_428796740,00110100011011011001100011101110101101000100
GIAI-96_3_3_446470365,00110100011011011010100111001001100011011101
GIAI-96_3_3_473840285,00110100011011011100001111100011101010011101
GIAI-96_3_3_481209251,00110100011011011100101011101010101110100011
GIAI-96_3_3_483283764,00110100011011011100110011100101001100110100
GIAI-96_3_3_497740813,00110100011011011101101010101110110000001101
GIAI-96_3_3_505401851,00110100011011011110000111111101000111111011
GIAI-96_3_3_506143737,00110100011011011110001010110010001111111001
GIAI-96_3_3_510819050,00110100011011011110011100100111101011101010
GIAI-96_3_3_516352421,00110100011011011110110001101110100110100101
GIAI-96_3_3_526044507,00110100011011011111010110101100110101011011
GIAI-96_3_3_526100893,00110100011011011111010110111010100110011101
GIAI-96_3_3_530696257,00110100011011011111101000011100100001000001
GIAI-96_3_3_548488426,00110100011011100000101100010100010011101010
